TAHUN;BULAN;JUMLAH
2018;jan;7092
2018;feb;5278
2018;mar;6525
2018;apr;6888
2018;mei;8646
2018;jun;10388
2018;jul;8417
2018;agu;6877
2018;sep;743
2018;okt;698
2018;nov;9505
2018;des;1272
2019;jan;8970
2019;feb;6676
2019;mar;10427
2019;apr;8933
2019;mei;12299
2019;jun;14578
2019;jul;9651
2019;agu;11844
2019;sep;11162
2019;okt;13570
2019;nov;12757
2019;des;14699
2020;jan;5785
2020;feb;3636
2020;mar;4956
2020;apr;4208
2020;mei;8336
2020;jun;6996
2020;jul;4907
2020;agu;6570
2020;sep;5562
2020;okt;6383
2020;nov;6501
2020;des;9101
2021;jan;5871
2021;feb;4822
2021;mar;4889
2021;apr;6287
2021;mei;7837
2021;jun;5397
2021;jul;5571
2021;agu;3924
2021;sep;2737
2021;okt;3406
2021;nov;3552
2021;des;5735
2022;jan;5525
2022;feb;5311
2022;mar;5144
2022;apr;5417
2022;mei;7681
2022;jun;3787
2022;jul;6879
2022;agu;5802
2022;sep;5492
2022;okt;6146
2022;nov;6176
2022;des;10863
